tahun_bulan,jml_setor
2011-1,14587749
2011-2,14587749
2011-3,87590962
2011-4,61913147
2011-5,41762998
2011-6,80390936
2011-7,92002154
2011-8,68491305
2011-9,80852180
2011-10,66817745
2011-11,115702331
2011-12,68238888
2012-1,57332151
2012-2,90925751
2012-3,73466595
2012-4,52951721
2012-5,94084548
2012-6,76445639
2012-7,67069716
2012-8,79563420
2012-9,76693418
2012-10,95330689
2012-11,98332469
2012-12,72608479
2013-1,101731325
2013-2,72919750
2013-3,86124005
2013-4,93015868
2013-5,76946280
2013-6,78997485
2013-7,83593986
2013-8,90850918
2013-9,98622880
2013-10,72476813
2013-11,112801355
2013-12,77942315
2014-1,88969350
2014-2,86198209
2014-3,182507819
2014-4,108290188
2014-5,68323686
2014-6,119420065
2014-7,81756205
2014-8,117644190
2014-9,121094983
2014-10,105069500
2014-11,126172451
2014-12,121509984
2015-1,87456029
2015-2,97098070
2015-3,114569348
2015-4,119761195
2015-5,77260391
2015-6,141224200
2015-7,105588461
2015-8,106151981
2015-9,128247148
2015-10,133973244
2015-11,149663039
2015-12,242980682
2016-1,110299855
2016-2,97439626
2016-3,95617036
2016-4,95033549
2016-5,120763212
2016-6,107663165
2016-7,99854994
2016-8,128015271
2016-9,168084142
2016-10,157972020
2016-11,155710830
2016-12,167594855
2017-1,123746306
2017-2,115114339
2017-3,137256915
2017-4,83877328
2017-5,212084454
2017-6,57230140
2017-7,201459965
2017-8,145476444
2017-9,153951646
2017-10,212617479
2017-11,174989820
2017-12,195562259
2018-1,110157440
2018-2,112685628
2018-3,156060685
2018-4,172226719
2018-5,167194760
2018-6,108312757
2018-7,205653726
2018-8,233545270
2018-9,128532659
2018-10,190828555
2018-11,301089276
2018-12,214432640
2019-1,171001627
2019-2,389873619
2019-3,208553451
2019-4,166918261
2019-5,297935205
2019-6,225898440
2019-7,163168198
2019-8,182288333
2019-9,383118200
2019-10,169340715
2019-11,220446579
2019-12,237075089
2020-1,192037211
2020-2,144699484
2020-3,955662729
2020-4,740101123
2020-5,626037092
2020-6,686923125
2020-7,705440810
2020-8,524808541
2020-9,903939592
2020-10,779698221
2020-11,651167232
2020-12,1004581196
2021-1,996172161
2021-2,673704307
2021-3,981640054
2021-4,1078821821
2021-5,942099029
2021-6,1324533838
2021-7,2174886040
2021-8,2134558260
2021-9,2915730258
2021-10,1854116422
2021-11,1728022078
2021-12,2270649096
