tahun_bulan,jml_setor
2012-1,6719300
2012-2,7000000
2012-3,59210200
2012-4,6719300
2012-5,9000000
2012-6,12125000
2012-7,6719300
2012-8,4675000
2012-9,6325000
2012-10,5746000
2012-11,3830000
2012-12,6501000
2013-1,8512950
2013-2,8797500
2013-3,21135200
2013-4,8512950
2013-5,12621200
2013-6,22000000
2013-7,30023000
2013-8,9500000
2013-9,19003250
2013-10,13725000
2013-11,35211175
2013-12,503542125
2014-1,85150700
2014-2,20289050
2014-3,10708500
2014-4,85150700
2014-5,52222500
2014-6,24838750
2014-7,148551100
2014-8,22385700
2014-9,52120000
2014-10,71093098
2014-11,382010970
2014-12,468213054
2015-1,1234235700
2015-2,1777052342
2015-3,1491476783
2015-4,1501949471
2015-5,608175400
2015-6,3706490950
2015-7,694008988
2015-8,1307149400
2015-9,7401465687
2015-10,7499812163
2015-11,1817745635
2015-12,5848340896
2016-1,617142077
2016-2,2154283029
2016-3,3656773286
2016-4,2286651249
2016-5,5665976429
2016-6,5951823140
2016-7,6583727463
2016-8,5533844750
2016-9,1856883128
2016-10,2351084849
2016-11,7109234069
2016-12,3824247151
2017-1,1453263338
2017-2,1436649748
2017-3,1536186311
2017-4,7443494084
2017-5,3500223064
2017-6,2208159796
2017-7,5528151487
2017-8,2196218816
2017-9,4192636739
2017-10,5573982612
2017-11,2368802749
2017-12,17543803696
2018-1,1160045394
2018-2,2736060150
2018-3,2121483475
2018-4,1730072288
2018-5,6534113305
2018-6,7129964925
2018-7,1911023664
2018-8,4140035151
2018-9,4528981911
2018-10,2126040894
2018-11,4635767289
2018-12,5612677155
2019-1,1346302082
2019-2,3118147915
2019-3,4870733983
2019-4,3928453882
2019-5,3871833878
2019-6,4588833728
2019-7,5351586905
2019-8,2374440752
2019-9,5888863763
2019-10,7506135466
2019-11,4743772029
2019-12,7748399872
2020-1,3825374656
2020-2,4762643227
2020-3,3047228224
2020-4,1806477060
2020-5,981107495
2020-6,3190568540
2020-7,3126006473
2020-8,3898710935
2020-9,29915352245
2020-10,10812046707
2020-11,3277736271
2020-12,13607681136
2021-1,9828083895
2021-2,1978248213
2021-3,4877067349
2021-4,3081021240
2021-5,1317783697
2021-6,9398019567
2021-7,2264825466
2021-8,8220342209
2021-9,7264448042
2021-10,5185561352
2021-11,3890410189
2021-12,3334849661
