tahun_bulan,jml_setor
2007-1,21316530
2007-2,21316530
2007-3,12489125
2007-4,16572879
2007-5,15386878
2007-6,15599971
2007-7,30166607
2007-8,41716053
2007-9,14474799
2007-10,9011792
2007-11,36495360
2007-12,17300614
2008-1,29721840
2008-2,18976443
2008-3,9744651
2008-4,13150625
2008-5,13461523
2008-6,19653125
2008-7,31227815
2008-8,31545540
2008-9,15788349
2008-10,4630633
2008-11,37184962
2008-12,16413216
2009-1,25762137
2009-2,23297165
2009-3,15536888
2009-4,19449846
2009-5,18404898
2009-6,20091674
2009-7,26741825
2009-8,28926266
2009-9,13134313
2009-10,39215574
2009-11,21884069
2009-12,15683528
2010-1,31806491
2010-2,20281713
2010-3,17687519
2010-4,15744695
2010-5,15137218
2010-6,19186998
2010-7,23331737
2010-8,23791618
2010-9,7856553
2010-10,37630725
2010-11,19982622
2010-12,18843984
2011-1,710000
2011-2,710000
2011-3,23052598
2011-4,23082421
2011-5,14741393
2011-6,27989480
2011-7,23152825
2011-8,23627241
2011-9,19682564
2011-10,46256548
2011-11,19519145
2011-12,20197769
2012-1,32111233
2012-2,33255920
2012-3,33063951
2012-4,31610026
2012-5,36305599
2012-6,72292106
2012-7,50333232
2012-8,36829306
2012-9,79883491
2012-10,58116148
2012-11,47112990
2012-12,36767277
2013-1,68956599
2013-2,64149353
2013-3,66548368
2013-4,65054322
2013-5,53274461
2013-6,42037896
2013-7,80306162
2013-8,29530092
2013-9,106202044
2013-10,52551748
2013-11,59015605
2013-12,68363081
2014-1,73923593
2014-2,94146781
2014-3,68205329
2014-4,100826213
2014-5,84487369
2014-6,78813198
2014-7,72465467
2014-8,66304930
2014-9,130083618
2014-10,116405269
2014-11,115407374
2014-12,104005714
2015-1,153206630
2015-2,132928939
2015-3,107884773
2015-4,127260831
2015-5,116541560
2015-6,97192919
2015-7,72019611
2015-8,136037989
2015-9,170320618
2015-10,115903818
2015-11,111517828
2015-12,49122636
2016-1,175664097
2016-2,143870235
2016-3,171680879
2016-4,119519174
2016-5,89426234
2016-6,104224515
2016-7,40182675
2016-8,257854549
2016-9,94568243
2016-10,133047467
2016-11,121266264
2016-12,100440407
2017-1,126324891
2017-2,212115325
2017-3,116458130
2017-4,116973527
2017-5,193047054
2017-6,123990150
2017-7,235164280
2017-8,216447050
2017-9,148303215
2017-10,155128909
2017-11,67319322
2017-12,89600493
2018-1,443412952
2018-2,170795981
2018-3,162838863
2018-4,193418573
2018-5,146202540
2018-6,90058661
2018-7,414458879
2018-8,233005501
2018-9,155101773
2018-10,168221862
2018-11,161557782
2018-12,118829390
2019-1,639992669
2019-2,488527591
2019-3,278204915
2019-4,348740285
2019-5,259058480
2019-6,277204046
2019-7,173629455
2019-8,632896955
2019-9,335114668
2019-10,228707996
2019-11,277355723
2019-12,250191215
2020-1,594909683
2020-2,315721749
2020-3,240871398
2020-4,84698775
2020-5,4030906
2020-6,8792200
2020-7,20434115
2020-8,33216855
2020-9,37727700
2020-10,34137417
2020-11,37342700
2020-12,32490013
2021-1,41899461
2021-2,39429157
2021-3,21782850
2021-4,43553067
2021-5,47961893
2021-6,92376989
2021-7,52249418
2021-8,9348409
2021-9,2782600
2021-10,18371305
2021-11,61231364
2021-12,77157364
