tahun_bulan,jml_setor
2012-1,183057000
2012-2,227826558
2012-3,183871650
2012-4,210447250
2012-5,133266850
2012-6,219206350
2012-7,124164400
2012-8,134640450
2012-9,212564750
2012-10,173935750
2012-11,416368000
2012-12,275352000
2013-1,349926250
2013-2,206785000
2013-3,298419900
2013-4,520294250
2013-5,401312500
2013-6,346875000
2013-7,316110000
2013-8,209607500
2013-9,404187500
2013-10,375347100
2013-11,398383000
2013-12,417110000
2014-1,343945000
2014-2,190308100
2014-3,474472500
2014-4,274300000
2014-5,534327600
2014-6,778948500
2014-7,529221600
2014-8,621560900
2014-9,730250100
2014-10,508232300
2014-11,551206400
2014-12,673655340
2015-1,487827000
2015-2,1125359900
2015-3,659277500
2015-4,515041000
2015-5,734858800
2015-6,461019100
2015-7,887745000
2015-8,675607600
2015-9,553241135
2015-10,516557600
2015-11,501934600
2015-12,526441800
2016-1,905493900
2016-2,549825200
2016-3,705661380
2016-4,543642990
2016-5,620920900
2016-6,555659200
2016-7,534275000
2016-8,484416900
2016-9,710003300
2016-10,637646600
2016-11,474364200
2016-12,862194000
2017-1,693331800
2017-2,716907900
2017-3,587127500
2017-4,463163200
2017-5,827421400
2017-6,735300700
2017-7,553614000
2017-8,805920400
2017-9,802628100
2017-10,652040500
2017-11,609455000
2017-12,677572300
2018-1,698059600
2018-2,844527700
2018-3,737803450
2018-4,817713700
2018-5,803263600
2018-6,589355000
2018-7,543067600
2018-8,1008685000
2018-9,705290500
2018-10,860277300
2018-11,1050721200
2018-12,876194200
2019-1,924586800
2019-2,816043600
2019-3,823368800
2019-4,852999900
2019-5,760574500
2019-6,600657025
2019-7,664453398
2019-8,861572347
2019-9,930082500
2019-10,907213100
2019-11,1107232000
2019-12,826582500
2020-1,738031100
2020-2,759717700
2020-3,759167600
2020-4,801050000
2020-5,727753600
2020-6,460098100
2020-7,724505000
2020-8,844164000
2020-9,862611500
2020-10,789364200
2020-11,1482225260
2020-12,976183075
2021-1,712708600
2021-2,822154900
2021-3,748984825
2021-4,680393700
2021-5,619094900
2021-6,883196900
2021-7,873998700
2021-8,787971000
2021-9,994292400
2021-10,843007500
2021-11,1382322260
2021-12,836456800
2022-1,862600000
2022-2,884365000
2022-3,985708900
2022-4,930017050
2022-5,638498500
2022-6,1046433750
2022-7,1073543600
2022-8,987543600
2022-9,1194243500
2022-10,1043432500
2022-11,1582343260
2022-12,1036434200
