tahun_bulan,jml_setor
2012-1,363667758
2012-2,317627078
2012-3,1777298755
2012-4,2755608275
2012-5,2627243620
2012-6,2815907336
2012-7,4783020480
2012-8,4855393098
2012-9,7265557237
2012-10,964547760
2012-11,665761869
2012-12,654281568
2013-1,274003822
2013-2,224999257
2013-3,394042749
2013-4,1032716470
2013-5,2535590382
2013-6,3511237092
2013-7,4189912360
2013-8,3751032717
2013-9,13788500825
2013-10,1870790491
2013-11,841906430
2013-12,601234450
2014-1,703129967
2014-2,519913833
2014-3,710991007
2014-4,2160350638
2014-5,2718493424
2014-6,2281768380
2014-7,1829135558
2014-8,18035488017
2014-9,1881021655
2014-10,1726384894
2014-11,618709483
2014-12,590192233
2015-1,442054933
2015-2,679675917
2015-3,2414301121
2015-4,6612896066
2015-5,3678325279
2015-6,3491495175
2015-7,4193527908
2015-8,33406504399
2015-9,2278650107
2015-10,976656104
2015-11,1340379243
2015-12,1017448711
2016-1,899099787
2016-2,1052599451
2016-3,2692379821
2016-4,10030838969
2016-5,3566919933
2016-6,3890071185
2016-7,6687736928
2016-8,30852673150
2016-9,2622616226
2016-10,2434223926
2016-11,905530771
2016-12,1542496901
2017-1,659478930
2017-2,506686382
2017-3,1869343837
2017-4,4905331037
2017-5,3606149002
2017-6,7034956199
2017-7,9092756306
2017-8,35282108020
2017-9,3551305370
2017-10,1409454511
2017-11,570581803
2017-12,5173998240
2018-1,636897853
2018-2,2524108270
2018-3,5589696486
2018-4,4191953332
2018-5,3246569151
2018-6,1625577941
2018-7,10470576032
2018-8,36129205411
2018-9,2062355077
2018-10,1418517434
2018-11,1386186065
2018-12,2013127492
2019-1,669315585
2019-2,1960859604
2019-3,11000895624
2019-4,6999061381
2019-5,3634575358
2019-6,2049075978
2019-7,11255887265
2019-8,24602427223
2019-9,2360325821
2019-10,2866525293
2019-11,2650081701
2019-12,1193367341
2020-1,751374337
2020-2,3234191135
2020-3,2334388651
2020-4,2683498860
2020-5,1736445949
2020-6,6643368406
2020-7,12218193738
2020-8,30160026040
2020-9,4430167332
2020-10,13261323662
2020-11,1742101201
2020-12,1593990804
2021-1,565822179
2021-2,703323212
2021-3,3872749082
2021-4,5139986012
2021-5,5524044383
2021-6,3683524215
2021-7,7358024818
2021-8,45506786608
2021-9,2967031549
2021-10,1585826713
2021-11,1473772778
2021-12,5341949926
2022-1,595822000
2022-2,903323000
2022-3,3972749000
2022-4,5539986000
2022-5,5724000083
2022-6,3983524000
2022-7,7958024000
2022-8,49506780000
2022-9,3267031000
2022-10,1984536713
2022-11,1873772000
2022-12,5841949000
