tahun_bulan,jml_setor
2007-1,1258615
2007-2,1258615
2007-3,2368954568
2007-4,1018143
2007-5,2168687787
2007-6,1092777797
2007-7,2272757
2007-8,2178904503
2007-9,1091549756
2007-10,1145881836
2007-11,1295181131
2007-12,1063427808
2008-1,1115717293
2008-2,94973021
2008-3,2196600685
2008-4,1159606787
2008-5,1134152822
2008-6,21610067
2008-7,1188942761
2008-8,2475394882
2008-9,1237394887
2008-10,1130515528
2008-11,1224646648
2008-12,1141031707
2009-1,1122301410
2009-2,1108636868
2009-3,1088653372
2009-4,1071902491
2009-5,1166844457
2009-6,1140333884
2009-7,1187675551
2009-8,1212420770
2009-9,1196080328
2009-10,1175652492
2009-11,1165387856
2009-12,1263430414
2010-1,1479025066
2010-2,35594766
2010-3,2851187091
2010-4,1362768054
2010-5,1487423245
2010-6,1473850817
2010-7,47435368
2010-8,2990866989
2010-9,1603420359
2010-10,1463595919
2010-11,101398071
2010-12,2516211868
2011-1,33091214
2011-2,33091214
2011-3,1761590255
2011-4,1417042645
2011-5,1563091327
2011-6,1543961377
2011-7,1648411704
2011-8,1537844780
2011-9,1604543880
2011-10,1687590008
2011-11,1645122477
2011-12,1746672833
2012-1,1590854848
2012-2,1815655305
2012-3,1755009850
2012-4,1733861503
2012-5,1912141391
2012-6,2018508922
2012-7,2274954451
2012-8,2269386918
2012-9,2227693544
2012-10,2312916950
2012-11,2520982935
2012-12,2167601962
2013-1,2552583545
2013-2,2395278423
2013-3,2214146915
2013-4,2506845580
2013-5,2456217602
2013-6,2517085662
2013-7,2664124589
2013-8,2705828838
2013-9,3037444871
2013-10,2774056982
2013-11,2593796423
2013-12,3406426298
2014-1,2991036233
2014-2,2935979673
2014-3,3356302609
2014-4,3298461745
2014-5,3338025957
2014-6,2930010230
2014-7,4268577449
2014-8,3336952537
2014-9,4538519115
2014-10,3569756651
2014-11,3839684920
2014-12,5646349580
2015-1,4676784799
2015-2,4098959162
2015-3,4871916069
2015-4,4342126554
2015-5,4285986219
2015-6,4425633311
2015-7,4961360336
2015-8,4303748539
2015-9,4462677593
2015-10,4420744941
2015-11,4311274167
2015-12,6951495105
2016-1,4362545788
2016-2,4789029676
2016-3,4844530304
2016-4,4232093162
2016-5,4424625463
2016-6,5083691981
2016-7,3838575678
2016-8,6041904171
2016-9,4068777489
2016-10,4535910028
2016-11,4413246091
2016-12,4349191219
2017-1,4416348008
2017-2,4108220334
2017-3,4527894007
2017-4,4152276654
2017-5,4983519926
2017-6,4521869935
2017-7,5122646979
2017-8,4551638105
2017-9,4711437225
2017-10,5319975117
2017-11,4949398940
2017-12,5759337313
2018-1,4899943047
2018-2,4390024022
2018-3,5404984473
2018-4,4926870317
2018-5,5213846319
2018-6,4709530362
2018-7,6772080455
2018-8,4232690448
2018-9,5452017099
2018-10,5670676205
2018-11,5666869534
2018-12,5623928965
2019-1,5668046673
2019-2,5617116696
2019-3,5623784235
2019-4,4615394775
2019-5,6412111463
2019-6,5092229777
2019-7,6064791835
2019-8,5042424130
2019-9,5776769152
2019-10,5141569178
2019-11,5349258664
2019-12,6122166356
2020-1,5855882864
2020-2,5354407384
2020-3,6205449224
2020-4,4832013914
2020-5,5521629339
2020-6,5490013877
2020-7,4293946406
2020-8,5150608995
2020-9,4690202101
2020-10,5246426126
2020-11,5513569051
2020-12,5243088279
2021-1,5528536304
2021-2,5413569273
2021-3,5529458593
2021-4,5147607112
2021-5,5637292623
2021-6,5939522806
2021-7,5488011081
2021-8,6213056572
2021-9,5736494087
2021-10,6045946384
2021-11,6347055477
2021-12,6379277793
