tahun_bulan,jml_setor
2012-1,414272875
2012-2,212497427
2012-3,87379126
2012-4,191855563
2012-5,182001995
2012-6,95346601
2012-7,247403088
2012-8,223582211
2012-9,155713325
2012-10,135514150
2012-11,503464863
2012-12,143885249
2013-1,130791618
2013-2,135270125
2013-3,248532819
2013-4,236133700
2013-5,229740726
2013-6,153730762
2013-7,227128925
2013-8,159321697
2013-9,241863564
2013-10,196157537
2013-11,148156075
2013-12,168838974
2014-1,139408487
2014-2,160995093
2014-3,257741462
2014-4,94861350
2014-5,215564912
2014-6,265926387
2014-7,109675440
2014-8,190979436
2014-9,223046775
2014-10,71618194
2014-11,275511708
2014-12,187461498
2015-1,169812775
2015-2,169701431
2015-3,150274188
2015-4,179793863
2015-5,260855125
2015-6,129340000
2015-7,155292337
2015-8,182038112
2015-9,191592343
2015-10,333099825
2015-11,241788750
2015-12,177730373
2016-1,426795349
2016-2,152754712
2016-3,209452405
2016-4,145513469
2016-5,381742199
2016-6,164907337
2016-7,201098337
2016-8,133214240
2016-9,226278559
2016-10,323345319
2016-11,234902392
2016-12,145933051
2017-1,387488938
2017-2,158841384
2017-3,210135459
2017-4,230339488
2017-5,265190905
2017-6,112514940
2017-7,145999740
2017-8,283687135
2017-9,259655875
2017-10,193227395
2017-11,311253613
2017-12,251753119
2018-1,501763932
2018-2,236503765
2018-3,158663801
2018-4,238489370
2018-5,238850085
2018-6,141756769
2018-7,261033748
2018-8,253185925
2018-9,239850920
2018-10,598800095
2018-11,366881399
2018-12,201779102
2019-1,312427839
2019-2,381240183
2019-3,509811720
2019-4,357000885
2019-5,373381436
2019-6,122173325
2019-7,329186294
2019-8,231190313
2019-9,509052901
2019-10,571707925
2019-11,243737500
2019-12,765438140
2020-1,370043386
2020-2,246244899
2020-3,346534624
2020-4,253337348
2020-5,270299932
2020-6,260444710
2020-7,218366544
2020-8,595185795
2020-9,219388140
2020-10,455064556
2020-11,387482636
2020-12,355289492
2021-1,170332540
2021-2,469045149
2021-3,261332640
2021-4,317139718
2021-5,174473050
2021-6,395591098
2021-7,176588987
2021-8,341425927
2021-9,356179541
2021-10,410566801
2021-11,557992534
2021-12,204928651
2022-1,365135626
2022-2,499045000
2022-3,313908246
2022-4,397278473
2022-5,324219615
2022-6,416965196
2022-7,276588000
2022-8,441425000
2022-9,456179000
2022-10,510566000
2022-11,657992000
2022-12,304928651
